# time(sec) Desired Measured
0.000 0.0000 -0.3013
0.001 0.0031 -0.2726
0.002 0.0063 -0.2723
0.003 0.0094 -0.2777
0.004 0.0126 -0.2817
0.005 0.0157 -0.2997
0.006 0.0188 -0.2505
0.007 0.0220 -0.2526
0.008 0.0251 -0.2686
0.009 0.0283 -0.2579
0.010 0.0314 -0.2419
0.011 0.0346 -0.2564
0.012 0.0377 -0.2606
0.013 0.0408 -0.2231
0.014 0.0440 -0.2522
0.015 0.0471 -0.2363
0.016 0.0502 -0.2530
0.017 0.0534 -0.2286
0.018 0.0565 -0.2386
0.019 0.0597 -0.2410
0.020 0.0628 -0.1972
0.021 0.0659 -0.2155
0.022 0.0691 -0.2254
0.023 0.0722 -0.2218
0.024 0.0753 -0.2629
0.025 0.0785 -0.2328
0.026 0.0816 -0.2141
0.027 0.0847 -0.2183
0.028 0.0879 -0.1949
0.029 0.0910 -0.1951
0.030 0.0941 -0.1876
0.031 0.0972 -0.2228
0.032 0.1004 -0.2018
0.033 0.1035 -0.1758
0.034 0.1066 -0.2088
0.035 0.1097 -0.1552
0.036 0.1129 -0.1630
0.037 0.1160 -0.1805
0.038 0.1191 -0.1508
0.039 0.1222 -0.1681
0.040 0.1253 -0.1884
0.041 0.1284 -0.1856
0.042 0.1316 -0.1323
0.043 0.1347 -0.1851
0.044 0.1378 -0.1744
0.045 0.1409 -0.1773
0.046 0.1440 -0.1218
0.047 0.1471 -0.1413
0.048 0.1502 -0.1568
0.049 0.1533 -0.1312
0.050 0.1564 -0.1333
0.051 0.1595 -0.1450
0.052 0.1626 -0.1139
0.053 0.1657 -0.1428
0.054 0.1688 -0.1261
0.055 0.1719 -0.1593
0.056 0.1750 -0.1100
0.057 0.1781 -0.1202
0.058 0.1812 -0.1164
0.059 0.1843 -0.0956
0.060 0.1874 -0.1533
0.061 0.1905 -0.1280
0.062 0.1935 -0.0934
0.063 0.1966 -0.1055
0.064 0.1997 -0.1208
0.065 0.2028 -0.1132
0.066 0.2059 -0.1279
0.067 0.2089 -0.0981
0.068 0.2120 -0.1140
0.069 0.2151 -0.0701
0.070 0.2181 -0.0732
0.071 0.2212 -0.1157
0.072 0.2243 -0.0759
0.073 0.2273 -0.0833
0.074 0.2304 -0.0607
0.075 0.2334 -0.0643
0.076 0.2365 -0.0508
0.077 0.2396 -0.0850
0.078 0.2426 -0.0567
0.079 0.2456 -0.0600
0.080 0.2487 -0.0401
